price,emirate,number,character
149000,dubai,3320,a
149000,abu-dhabi,48000,1
149000,dubai,66667,i
149000,dubai,8880,x
148000,abu-dhabi,7778,16
148000,abu-dhabi,4900,1
148000,abu-dhabi,4443,50
147000,abu-dhabi,4300,15
147000,abu-dhabi,2017,6
147000,dubai,69696,f
146000,abu-dhabi,3033,50
145000,dubai,6333,k
145000,abu-dhabi,22282,2
145000,abu-dhabi,66663,10
145000,abu-dhabi,5200,20
145000,dubai,2019,b
145000,abu-dhabi,54000,6
145000,abu-dhabi,8087,1
145000,dubai,4404,h
145000,ras-al-khaimah,456,x
145000,dubai,13333,h
145000,abu-dhabi,49994,5
145000,abu-dhabi,39999,1
145000,abu-dhabi,1414,12
145000,dubai,95000,i
145000,abu-dhabi,52222,2
145000,dubai,5551,r
145000,abu-dhabi,2112,18
145000,abu-dhabi,2224,12
144000,umm-al-quwain,51,i
143500,abu-dhabi,3313,13
142500,abu-dhabi,62222,20
142000,dubai,11311,o
140500,abu-dhabi,14441,14
140000,umm-al-quwain,292,c
140000,abu-dhabi,6800,18
140000,abu-dhabi,24242,2
140000,abu-dhabi,1121,14
140000,umm-al-quwain,449,b
140000,abu-dhabi,91119,13
140000,abu-dhabi,49000,1
140000,abu-dhabi,55557,10
140000,dubai,71117,n
139900,dubai,20202,h
139500,abu-dhabi,6565,2
139500,abu-dhabi,3373,6
139500,abu-dhabi,2233,16
139500,abu-dhabi,22272,1
139399,abu-dhabi,6119,5
139000,abu-dhabi,66222,1
139000,dubai,55556,a
139000,abu-dhabi,55577,1
139000,dubai,5151,n
139000,dubai,3300,v
139000,abu-dhabi,99222,1
139000,abu-dhabi,66644,1
139000,dubai,55554,b
139000,abu-dhabi,6611,2
139000,dubai,86000,b
139000,abu-dhabi,88808,6
139000,abu-dhabi,1413,5
139000,abu-dhabi,2100,50
139000,abu-dhabi,61666,1
139000,abu-dhabi,555,1
138000,abu-dhabi,8808,19
138000,dubai,4222,f
137000,abu-dhabi,8188,18
137000,dubai,1976,q
135000,abu-dhabi,9339,1
135000,abu-dhabi,77700,20
135000,dubai,7776,r
135000,abu-dhabi,2226,11
135000,abu-dhabi,4050,15
135000,abu-dhabi,1002,50
135000,dubai,99900,l
135000,abu-dhabi,6900,20
135000,abu-dhabi,7787,50
135000,abu-dhabi,7878,18
135000,dubai,4455,l
135000,abu-dhabi,8222,2
135000,abu-dhabi,44044,2
135000,abu-dhabi,2341,1
135000,abu-dhabi,58888,1
135000,abu-dhabi,44400,2
135000,abu-dhabi,76777,2
135000,abu-dhabi,6464,10
135000,dubai,7860,h
135000,dubai,7667,h
135000,dubai,19991,l
135000,abu-dhabi,77722,2
135000,abu-dhabi,88877,2
135000,abu-dhabi,1151,2
135000,abu-dhabi,1177,16
134500,abu-dhabi,2700,10
134500,abu-dhabi,5155,6
134000,dubai,18181,u
133000,abu-dhabi,92229,2
133000,abu-dhabi,6050,50
133000,abu-dhabi,5400,50
133000,abu-dhabi,7277,2
132000,abu-dhabi,7747,14
130000,dubai,22200,s
130000,abu-dhabi,7060,50
130000,dubai,88188,n
130000,abu-dhabi,71000,50
130000,dubai,6888,r
130000,fujairah,73,s
130000,abu-dhabi,23333,2
130000,abu-dhabi,22224,13
130000,abu-dhabi,39993,10
130000,abu-dhabi,1330,2
130000,abu-dhabi,5995,6
130000,abu-dhabi,79000,1
130000,abu-dhabi,84000,11
130000,abu-dhabi,2424,2
130000,dubai,55355,a
130000,abu-dhabi,5080,50
130000,dubai,19111,t
130000,dubai,3555,i
130000,abu-dhabi,3031,2
130000,dubai,9944,f
